Región,Lista/Candidato,Partido,Votos,Porcentaje,Fecha Datos
DE ÑUBLE,2 JEANNETTE JARA ROMAN,PCCH,14813,"57,62%",29-06-2025 22:00
DE ÑUBLE,3 CAROLINA TOHA MORALES,PPD,8266,"32,15%",29-06-2025 22:00
DE ÑUBLE,4 JAIME MULET MARTINEZ,FREVS,656,"2,55%",29-06-2025 22:00
DE ÑUBLE,Válidamente Emitidos,,25707,"94,18%",29-06-2025 22:00
DE ÑUBLE,Votos Nulos,,744,"2,73%",29-06-2025 22:00
DE ÑUBLE,Votos en Blanco,,844,"3,09%",29-06-2025 22:00
DE ÑUBLE,Total Votación,,27295,"100,00%",29-06-2025 22:00
DEL BIOBIO,UNIDAD POR CHILE,,96985,"100,00%",29-06-2025 22:00
DEL BIOBIO,1 GONZALO WINTER ETCHEBERRY,FA,7673,"7,91%",29-06-2025 22:00
DEL BIOBIO,2 JEANNETTE JARA ROMAN,PCCH,57969,"59,77%",29-06-2025 22:00
DEL BIOBIO,3 CAROLINA TOHA MORALES,PPD,28645,"29,54%",29-06-2025 22:00
DEL BIOBIO,4 JAIME MULET MARTINEZ,FREVS,2698,"2,78%",29-06-2025 22:00
DEL BIOBIO,Válidamente Emitidos,,96985,"96,01%",29-06-2025 22:00
DEL BIOBIO,Votos Nulos,,2924,"2,89%",29-06-2025 22:00
DEL BIOBIO,Votos en Blanco,,1111,"1,10%",29-06-2025 22:00
DEL BIOBIO,Total Votación,,101020,"100,00%",29-06-2025 22:00
DE LA ARAUCANIA,UNIDAD POR CHILE,,49093,"100,00%",29-06-2025 22:00
DE LA ARAUCANIA,1 GONZALO WINTER ETCHEBERRY,FA,4585,"9,34%",29-06-2025 22:00
DE LA ARAUCANIA,2 JEANNETTE JARA ROMAN,PCCH,28094,"57,23%",29-06-2025 22:00
DE LA ARAUCANIA,3 CAROLINA TOHA MORALES,PPD,14876,"30,30%",29-06-2025 22:00
DE LA ARAUCANIA,4 JAIME MULET MARTINEZ,FREVS,1538,"3,13%",29-06-2025 22:00
DE LA ARAUCANIA,Válidamente Emitidos,,49093,"93,84%",29-06-2025 22:00
DE LA ARAUCANIA,Votos Nulos,,1894,"3,62%",29-06-2025 22:00
DE LA ARAUCANIA,Votos en Blanco,,1327,"2,54%",29-06-2025 22:00
DE LA ARAUCANIA,Total Votación,,52314,"100,00%",29-06-2025 22:00
DE LOS RIOS,UNIDAD POR CHILE,,25815,"100,00%",29-06-2025 22:00
DE LOS RIOS,1 GONZALO WINTER ETCHEBERRY,FA,2317,"8,98%",29-06-2025 22:00
DE LOS RIOS,2 JEANNETTE JARA ROMAN,PCCH,15765,"61,07%",29-06-2025 22:00
DE LOS RIOS,3 CAROLINA TOHA MORALES,PPD,7142,"27,67%",29-06-2025 22:00
DE LOS RIOS,4 JAIME MULET MARTINEZ,FREVS,591,"2,29%",29-06-2025 22:00
DE LOS RIOS,Válidamente Emitidos,,25815,"96,78%",29-06-2025 22:00
DE LOS RIOS,Votos Nulos,,596,"2,23%",29-06-2025 22:00
DE LOS RIOS,Votos en Blanco,,264,"0,99%",29-06-2025 22:00
DE LOS RIOS,Total Votación,,26675,"100,00%",29-06-2025 22:00
DE LOS LAGOS,UNIDAD POR CHILE,,46629,"100,00%",29-06-2025 22:00
DE LOS LAGOS,1 GONZALO WINTER ETCHEBERRY,FA,4090,"8,77%",29-06-2025 22:00
DE LOS LAGOS,2 JEANNETTE JARA ROMAN,PCCH,28622,"61,38%",29-06-2025 22:00
DE LOS LAGOS,3 CAROLINA TOHA MORALES,PPD,12652,"27,13%",29-06-2025 22:00
DE LOS LAGOS,4 JAIME MULET MARTINEZ,FREVS,1265,"2,71%",29-06-2025 22:00
DE LOS LAGOS,Válidamente Emitidos,,46629,"95,21%",29-06-2025 22:00
DE LOS LAGOS,Votos Nulos,,1609,"3,29%",29-06-2025 22:00
DE LOS LAGOS,Votos en Blanco,,739,"1,51%",29-06-2025 22:00
DE LOS LAGOS,Total Votación,,48977,"100,00%",29-06-2025 22:00
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,UNIDAD POR CHILE,,5438,"100,00%",29-06-2025 22:00
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,1 GONZALO WINTER ETCHEBERRY,FA,554,"10,19%",29-06-2025 22:00
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,2 JEANNETTE JARA ROMAN,PCCH,3478,"63,96%",29-06-2025 22:00
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,3 CAROLINA TOHA MORALES,PPD,1288,"23,69%",29-06-2025 22:00
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,4 JAIME MULET MARTINEZ,FREVS,118,"2,17%",29-06-2025 22:00
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,Válidamente Emitidos,,5438,"96,64%",29-06-2025 22:00
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,Votos Nulos,,124,"2,20%",29-06-2025 22:00
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,Votos en Blanco,,65,"1,16%",29-06-2025 22:00
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,Total Votación,,5627,"100,00%",29-06-2025 22:00
DE MAGALLANES Y DE LA ANTARTICA CHILENA,UNIDAD POR CHILE,,10279,"100,00%",29-06-2025 22:00
DE MAGALLANES Y DE LA ANTARTICA CHILENA,1 GONZALO WINTER ETCHEBERRY,FA,1043,"10,15%",29-06-2025 22:00
DE MAGALLANES Y DE LA ANTARTICA CHILENA,2 JEANNETTE JARA ROMAN,PCCH,5666,"55,12%",29-06-2025 22:00
DE MAGALLANES Y DE LA ANTARTICA CHILENA,3 CAROLINA TOHA MORALES,PPD,3307,"32,17%",29-06-2025 22:00
DE MAGALLANES Y DE LA ANTARTICA CHILENA,4 JAIME MULET MARTINEZ,FREVS,263,"2,56%",29-06-2025 22:00
DE MAGALLANES Y DE LA ANTARTICA CHILENA,Válidamente Emitidos,,10279,"96,52%",29-06-2025 22:00
DE MAGALLANES Y DE LA ANTARTICA CHILENA,Votos Nulos,,281,"2,64%",29-06-2025 22:00
DE MAGALLANES Y DE LA ANTARTICA CHILENA,Votos en Blanco,,90,"0,85%",29-06-2025 22:00
DE MAGALLANES Y DE LA ANTARTICA CHILENA,Total Votación,,10650,"100,00%",29-06-2025 22:00
EXTRANJERO,UNIDAD POR CHILE,,10759,"100,00%",29-06-2025 22:00
EXTRANJERO,1 GONZALO WINTER ETCHEBERRY,FA,1456,"13,53%",29-06-2025 22:00
EXTRANJERO,2 JEANNETTE JARA ROMAN,PCCH,5581,"51,87%",29-06-2025 22:00
EXTRANJERO,3 CAROLINA TOHA MORALES,PPD,3503,"32,56%",29-06-2025 22:00
EXTRANJERO,4 JAIME MULET MARTINEZ,FREVS,219,"2,04%",29-06-2025 22:00
EXTRANJERO,Válidamente Emitidos,,10759,"97,84%",29-06-2025 22:00
EXTRANJERO,Votos Nulos,,152,"1,38%",29-06-2025 22:00
EXTRANJERO,Votos en Blanco,,86,"0,78%",29-06-2025 22:00
EXTRANJERO,Total Votación,,10997,"100,00%",29-06-2025 22:00
